,age,marital,balance,duration,campaign,pdays,y
34,49.0,0.0,1235.0,354.0,3,-1,yes
38,33.0,0.0,3935.0,765.0,1,342,yes
54,,0.0,2231.0,272.0,3,-1,yes
65,51.0,2.0,23.0,134.0,1,170,yes
89,,0.0,1831.0,203.0,2,-1,yes
90,39.0,0.0,111.0,201.0,2,-1,yes
94,57.0,0.0,1493.0,231.0,5,-1,yes
101,38.0,1.0,493.0,553.0,1,367,yes
103,57.0,1.0,3777.0,65.0,2,-1,yes
111,58.0,0.0,1517.0,7.0,5,-1,yes
120,31.0,2.0,189.0,588.0,1,-1,yes
134,27.0,1.0,769.0,317.0,2,-1,yes
145,,0.0,16.0,588.0,2,-1,yes
162,41.0,1.0,-256.0,35.0,3,-1,yes
168,48.0,0.0,31.0,,1,-1,no
188,36.0,,23.0,152.0,2,347,yes
193,36.0,0.0,1981.0,48.0,2,-1,yes
197,38.0,0.0,1.0,152.0,2,-1,yes
205,45.0,,,139.0,2,-1,yes
218,49.0,,35.0,834.0,10,-1,yes
251,32.0,0.0,2349.0,134.0,5,-1,yes
259,29.0,,482.0,1097.0,3,-1,yes
276,,0.0,11219.0,699.0,2,79,yes
294,47.0,0.0,3681.0,101.0,2,-1,yes
317,50.0,0.0,276.0,641.0,6,-1,yes
337,33.0,1.0,141.0,8.0,1,254,yes
344,37.0,1.0,54.0,555.0,1,-1,yes
365,23.0,1.0,78.0,267.0,1,-1,yes
373,51.0,0.0,-379.0,261.0,1,-1,yes
381,39.0,0.0,375.0,77.0,1,-1,yes
382,59.0,0.0,9676.0,234.0,2,-1,yes
383,37.0,0.0,1328.0,,2,341,no
394,33.0,0.0,43.0,332.0,2,358,yes
411,,1.0,186.0,342.0,1,-1,yes
416,31.0,1.0,27.0,319.0,2,-1,yes
419,46.0,0.0,1322.0,514.0,1,-1,yes
446,31.0,0.0,2363.0,247.0,1,-1,yes
492,,0.0,1796.0,295.0,1,91,yes
494,44.0,1.0,244.0,1735.0,4,-1,yes
502,31.0,0.0,13.0,110.0,5,-1,yes
504,41.0,0.0,3872.0,231.0,1,-1,yes
505,31.0,0.0,296.0,378.0,3,-1,yes
513,48.0,2.0,18.0,89.0,2,-1,yes
515,45.0,2.0,757.0,103.0,1,325,yes
522,43.0,2.0,738.0,585.0,4,191,yes
531,58.0,0.0,76.0,54.0,4,-1,yes
557,43.0,1.0,134.0,501.0,2,-1,yes
590,45.0,0.0,334.0,87.0,2,-1,yes
591,39.0,0.0,148.0,405.0,1,-1,yes
606,28.0,0.0,12.0,251.0,1,-1,yes
613,41.0,0.0,231.0,352.0,2,-1,yes
614,39.0,0.0,1161.0,236.0,1,336,yes
624,31.0,0.0,1134.0,174.0,2,-1,yes
635,33.0,2.0,28.0,155.0,1,-1,yes
636,41.0,2.0,2195.0,211.0,5,-1,yes
641,56.0,0.0,,471.0,2,-1,yes
647,46.0,2.0,6269.0,249.0,3,112,yes
655,59.0,0.0,,104.0,7,-1,yes
673,33.0,0.0,188.0,99.0,4,-1,yes
675,37.0,0.0,64.0,239.0,4,278,yes
679,44.0,0.0,376.0,209.0,3,-1,yes
684,28.0,1.0,168.0,347.0,3,140,yes
694,49.0,0.0,143.0,231.0,2,-1,yes
695,51.0,0.0,35.0,123.0,4,-1,yes
706,33.0,1.0,123.0,264.0,1,-1,yes
730,38.0,1.0,1146.0,91.0,2,-1,yes
735,30.0,1.0,566.0,110.0,1,-1,yes
749,43.0,2.0,49.0,100.0,1,-1,yes
766,57.0,0.0,152.0,227.0,4,-1,yes
769,52.0,0.0,1944.0,238.0,3,323,yes
795,30.0,1.0,162.0,186.0,4,-1,yes
803,57.0,1.0,254.0,676.0,1,-1,yes
813,31.0,0.0,466.0,164.0,1,-1,yes
822,40.0,0.0,13669.0,138.0,1,136,yes
830,42.0,1.0,,99.0,1,-1,yes
831,47.0,0.0,1996.0,,2,-1,no
837,39.0,1.0,766.0,667.0,3,357,yes
860,58.0,0.0,39.0,156.0,2,-1,yes
868,,0.0,141.0,299.0,2,-1,yes
877,30.0,1.0,19358.0,258.0,2,-1,yes
883,45.0,0.0,58.0,119.0,3,371,yes
892,27.0,1.0,5291.0,192.0,2,92,yes
902,58.0,1.0,49.0,643.0,2,-1,yes
935,46.0,0.0,294.0,277.0,2,-1,yes
951,55.0,0.0,979.0,123.0,1,-1,yes
967,,0.0,6411.0,144.0,1,266,yes
977,44.0,0.0,134.0,86.0,4,-1,yes
993,31.0,0.0,314.0,279.0,1,-1,yes
994,59.0,0.0,,76.0,11,-1,yes
999,20.0,1.0,291.0,172.0,5,371,yes
1001,31.0,1.0,438.0,130.0,2,-1,yes
1004,,0.0,24.0,229.0,3,-1,yes
1024,36.0,0.0,2357.0,228.0,2,-1,yes
1032,46.0,1.0,538.0,118.0,3,-1,yes
1052,30.0,0.0,11.0,157.0,1,-1,yes
1066,38.0,0.0,74.0,259.0,3,-1,yes
1067,44.0,0.0,8262.0,201.0,16,-1,yes
1069,45.0,1.0,718.0,53.0,1,172,yes
1096,46.0,0.0,217.0,141.0,1,346,yes
1098,37.0,1.0,,69.0,2,-1,yes
1101,28.0,0.0,148.0,143.0,1,-1,yes
1104,37.0,1.0,851.0,151.0,1,352,yes
1109,59.0,0.0,1.0,,2,378,no
